timestep,time_minutes,time_hour,start_date,sample_name,site,location,timepoint,DO_corrected_mgL
4,20,0.33,7/7/22,anoxia_060,OWC,wetland-A,24-hour,5.41
5,25,0.42,7/7/22,anoxia_060,OWC,wetland-A,24-hour,5.28
6,30,0.50,7/7/22,anoxia_060,OWC,wetland-A,24-hour,5.18
7,35,0.58,7/7/22,anoxia_060,OWC,wetland-A,24-hour,5.1
8,40,0.67,7/7/22,anoxia_060,OWC,wetland-A,24-hour,4.99
9,45,0.75,7/7/22,anoxia_060,OWC,wetland-A,24-hour,4.83
10,50,0.83,7/7/22,anoxia_060,OWC,wetland-A,24-hour,4.73
11,55,0.92,7/7/22,anoxia_060,OWC,wetland-A,24-hour,4.68
12,60,1.00,7/7/22,anoxia_060,OWC,wetland-A,24-hour,4.62
13,65,1.08,7/7/22,anoxia_060,OWC,wetland-A,24-hour,4.55
14,70,1.17,7/7/22,anoxia_060,OWC,wetland-A,24-hour,4.42
15,75,1.25,7/7/22,anoxia_060,OWC,wetland-A,24-hour,4.34
4,20,0.33,7/7/22,anoxia_062,OWC,wetland-A,24-hour,4.13
4,20,0.33,7/7/22,anoxia_061,OWC,wetland-A,24-hour,4.31
16,80,1.33,7/7/22,anoxia_060,OWC,wetland-A,24-hour,4.28
17,85,1.42,7/7/22,anoxia_060,OWC,wetland-A,24-hour,4.27
18,90,1.50,7/7/22,anoxia_060,OWC,wetland-A,24-hour,4.21
5,25,0.42,7/7/22,anoxia_061,OWC,wetland-A,24-hour,4.12
19,95,1.58,7/7/22,anoxia_060,OWC,wetland-A,24-hour,4.1
5,25,0.42,7/7/22,anoxia_062,OWC,wetland-A,24-hour,4.13
20,100,1.67,7/7/22,anoxia_060,OWC,wetland-A,24-hour,4.02
21,105,1.75,7/7/22,anoxia_060,OWC,wetland-A,24-hour,3.96
6,30,0.50,7/7/22,anoxia_061,OWC,wetland-A,24-hour,3.91
22,110,1.83,7/7/22,anoxia_060,OWC,wetland-A,24-hour,3.95
23,115,1.92,7/7/22,anoxia_060,OWC,wetland-A,24-hour,3.91
6,30,0.50,7/7/22,anoxia_062,OWC,wetland-A,24-hour,3.81
24,120,2.00,7/7/22,anoxia_060,OWC,wetland-A,24-hour,3.84
7,35,0.58,7/7/22,anoxia_061,OWC,wetland-A,24-hour,3.76
25,125,2.08,7/7/22,anoxia_060,OWC,wetland-A,24-hour,3.75
26,130,2.17,7/7/22,anoxia_060,OWC,wetland-A,24-hour,3.69
27,135,2.25,7/7/22,anoxia_060,OWC,wetland-A,24-hour,3.65
7,35,0.58,7/7/22,anoxia_062,OWC,wetland-A,24-hour,3.63
8,40,0.67,7/7/22,anoxia_061,OWC,wetland-A,24-hour,3.6
28,140,2.33,7/7/22,anoxia_060,OWC,wetland-A,24-hour,3.62
29,145,2.42,7/7/22,anoxia_060,OWC,wetland-A,24-hour,3.58
30,150,2.50,7/7/22,anoxia_060,OWC,wetland-A,24-hour,3.54
8,40,0.67,7/7/22,anoxia_062,OWC,wetland-A,24-hour,3.46
9,45,0.75,7/7/22,anoxia_061,OWC,wetland-A,24-hour,3.43
31,155,2.58,7/7/22,anoxia_060,OWC,wetland-A,24-hour,3.45
32,160,2.67,7/7/22,anoxia_060,OWC,wetland-A,24-hour,3.4
33,165,2.75,7/7/22,anoxia_060,OWC,wetland-A,24-hour,3.35
34,170,2.83,7/7/22,anoxia_060,OWC,wetland-A,24-hour,3.32
10,50,0.83,7/7/22,anoxia_061,OWC,wetland-A,24-hour,3.3
9,45,0.75,7/7/22,anoxia_062,OWC,wetland-A,24-hour,3.2
35,175,2.92,7/7/22,anoxia_060,OWC,wetland-A,24-hour,3.3
36,180,3.00,7/7/22,anoxia_060,OWC,wetland-A,24-hour,3.26
37,185,3.08,7/7/22,anoxia_060,OWC,wetland-A,24-hour,3.21
11,55,0.92,7/7/22,anoxia_061,OWC,wetland-A,24-hour,3.2
38,190,3.17,7/7/22,anoxia_060,OWC,wetland-A,24-hour,3.13
10,50,0.83,7/7/22,anoxia_062,OWC,wetland-A,24-hour,3.18
39,195,3.25,7/7/22,anoxia_060,OWC,wetland-A,24-hour,3.1
40,200,3.33,7/7/22,anoxia_060,OWC,wetland-A,24-hour,3.07
12,60,1.00,7/7/22,anoxia_061,OWC,wetland-A,24-hour,3.03
41,205,3.42,7/7/22,anoxia_060,OWC,wetland-A,24-hour,3.03
42,210,3.50,7/7/22,anoxia_060,OWC,wetland-A,24-hour,3.01
11,55,0.92,7/7/22,anoxia_062,OWC,wetland-A,24-hour,2.84
13,65,1.08,7/7/22,anoxia_061,OWC,wetland-A,24-hour,2.92
43,215,3.58,7/7/22,anoxia_060,OWC,wetland-A,24-hour,2.97
44,220,3.67,7/7/22,anoxia_060,OWC,wetland-A,24-hour,2.88
45,225,3.75,7/7/22,anoxia_060,OWC,wetland-A,24-hour,2.85
